RECV | PKT: DATA DEST: localhost ACK# : 0 SEQ# 1
SND  | PKT: DATA DEST: localhost ACK# : 0 SEQ# 1
RECV | PKT: DATA DEST: localhost ACK# : 1 SEQ# 2
SND  | PKT: DATA DEST: localhost ACK# : 1 SEQ# 2
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 0 SEQ# 1
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 0 SEQ# 1
RECV | PKT: DATA DEST: localhost ACK# : 2 SEQ# 3
SND  | PKT: DATA DEST: localhost ACK# : 2 SEQ# 3
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 1 SEQ# 2
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 1 SEQ# 2
RECV | PKT: DATA DEST: localhost ACK# : 3 SEQ# 4
SND  | PKT: DATA DEST: localhost ACK# : 3 SEQ# 4
RECV | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
SND  | PKT: DATA DEST: localhost ACK# : 4 SEQ# 5
RECV | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
SND  | PKT: DATA DEST: localhost ACK# : 5 SEQ# 6
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 2 SEQ# 3
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 2 SEQ# 3
RECV | PKT: DATA DEST: localhost ACK# : 6 SEQ# 7
RECV | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
SND  | PKT: DATA DEST: localhost ACK# : 7 SEQ# 8
RECV | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
SND  | PKT: DATA DEST: localhost ACK# : 8 SEQ# 9
RECV | PKT: DATA DEST: localhost ACK# : 9 SEQ# 10
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 3 SEQ# 4
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 3 SEQ# 4
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 4 SEQ# 5
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 5 SEQ# 6
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 7 SEQ# 8
RECV | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
SND  | PKT: ACK DEST: 142.232.157.244 ACK# : 8 SEQ# 9
